zone,locale
JHR01,"Pulau Air, Pulau Pemanggil"
JHR02,"Johor Bahru, Kota Tinggi, Mersing"
JHR03,"Kluang, Pontian"
JHR04,"Batu Pahat, Muar, Segamat, Gemas Johor"
KDH01,"Kota Setar, Kubang Pasu, Pokok Sena (Daerah Kecil)"
KDH02,"Kuala Muda, Yan, Pendang"
KDH03,"Padang Terap, Sik"
KDH04,Baling
KDH05,"Bandar Baharu, Kulim"
KDH06,Langkawi
KDH07,Puncak Gunung Jerai
KTN01,"Bachok, Kota Bharu, Machang, Pasir Mas"
KTN03,"Gua Musang (Daerah Galas Dan Bertam), Jeli, Jajahan Kecil Lojing"
MLK01,Seluruh Negeri Melaka
NGS01,"Tampin, Jempol"
NGS02,"Jelebu, Kuala Pilah, Port Dickson, Rembau, Seremban"
PHG01,Pulau Tioman
PHG02,"Rompin, Pekan, Muadzam Shah, Kuantan"
PHG03,"Maran, Chenor, Temerloh, Bera, Jengka Dan Jerantut"
PHG04," Bentong, Raub Dan Lipis"
PHG05,"Bukit Tinggi, Genting Sempah, Dan Janda Baik"
PHG06,"Cameron Highlands, Bukit Fraser Gentingdan Genting Highlands"
PLS01,"Kangar, Padang Besar, Arau"
PNG01,Seluruh Negeri Pulau Pinang
PRK01,"Tapah, Slim River, Tanjung Malim"
PRK02,"Kuala Kangsar, Sg. Siput , Ipoh, Batu Gajah, Kampar"
PRK03," Lenggong, Pengkalan Hulu, Grik"
PRK04,"Temengor, Belum"
PRK05," Kg Gajah, Teluk Intan, Bagan Datuk, Seri Iskandar, Beruas, Parit, Lumut, Sitiawan, Pulau Pangkor"
PRK06,"Selama, Taiping, Bagan Serai, Parit Buntar"
PRK07,Bukit Larut
SBH01,"Bahagian Sandakan (Timur), Bukit Garam, Semawang, Temanggong, Tambisan, Bandar Sandakan, Sukau"
SBH02,"Beluran, Telupid, Pinangah, Terusan, Kuamut, Bahagian Sandakan (Barat)"
SBH04,"Lahad Datu, Silabukan, Kunak, Sahabat, Semporna, Tungku, Bahagian Tawau (Timur)"
SBH04,"Bandar Tawau, Balong, Merotai, Kalabakan, Bahagian Tawau (Barat)"
SBH05,"Kudat, Kota Marudu, Pitas, Pulau Banggi, Bahagian Kudat"
SBH06,Gunung Kinabalu
SBH07,"Kota Kinabalu, Ranau, Kota Belud, Tuaran, Penampang, Papar, Putatan, Bahagian Pantai Barat"
SBH08,"Pensiangan, Keningau, Tambunan, Nabawan, Bahagian Pendalaman (Atas)"
SBH09,"Beaufort, Kuala Penyu, Sipitang, Tenom, Long Pa Sia, Membakut, Weston, Bahagian Pendalaman (Bawah)"
SGR01,"Gombak, Petaling, Sepang, Hulu Langat, Hulu Selangor, S.Alam"
SGR02,"Kuala Selangor, Sabak Bernam"
SGR03,"Klang, Kuala Langat"
SWK01,"Limbang, Lawas, Sundar, Trusan"
SWK02,"Miri, Niah, Bekenu, Sibuti, Marudi"
SWK03,"Pandan, Belaga, Suai, Tatau, Sebauh, Bintulu"
SWK04,"Sibu, Mukah, Dalat, Song, Igan, Oya, Balingian, Kanowit, Kapit"
SWK05,"Sarikei, Matu, Julau, Rajang, Daro, Bintangor, Belawai"
SWK06,"Lubok Antu, Sri Aman, Roban, Debak, Kabong, Lingga, Engkelili, Betong, Spaoh, Pusa, Saratok"
SWK07,"Serian, Simunjan, Samarahan, Sebuyau, Meludam"
SWK08," Kuching, Bau, Lundu, Sematan"
SWK09,Zon Khas (Kampung Patarikan)
TRG01,"Kuala Terengganu, Marang, Kuala Nerus"
TRG02,"Besut, Setiu"
TRG03,Hulu Terengganu
TRG04,"Dungun, Kemaman"
WLY01,"Kuala Lumpur, Putrajaya"
WLY02,Labuan
